no,ci,cr,ct,pn,pl,lus,wc,bf,esd, tcag , afa , gfa , bh ,nb,tfn,nfag,nfbg,ft,dsc,dsho, ca ,dp, ac ,codr,accodr
1,awei zoon  higher court,Amhara Buliding Constrction Company,ANRS road and buliding designe ane consultancy,west  gojiam zoon  higher court,debre markos,Urban,warm temprature, court Office,No,"3,798.00","2,234.32","16,621.28",29.5,1,7,6,1,open,2/10/2017GC,3/8/2017GC,150691639.34,12/16/2020GC,209159721.23,730.00,1364.00
2,habru wereda adminstration,Amhara Buliding Constrction Company,Lihket designe ane supervision interprise,habru wereda admin office buliding,habru,Sub Urban,cold,Office,No,"1,632.00","1,491.00","7,456.19",16.8,1,5,5,0,open,5/30/2018GC,6/19/18GC,55528073.01,8/8/2020GC,79890872.48,610.00,796.00
3,ataye loan and saving institute ,Amhara Buliding Constrction Company,Lihket designe ane supervision interprise,ataye loan and saving institute ,ataye,Sub Urban,warm temprature,Office,No,871.82,437.06,"1,311.18",12.8,1,3,4,0,open,4/7/2016GC,4/22/2016GC,16943252.80,9/25/2017GC,17259859.21,400.00,521.00
4,Gozamen Woreda Administration,Moges Abeje B.C,E/Gojjam zone urban development housing & construction Department,Gozamen Woreda Administration Office Building,Debre Markos,Urban,Temprate,Office,Yes,"2,564.92","1,308.56","6,542.81",21.5,1,5,3,1,Open,8/8/2012 E.C,10/08/2012 E.C,29716046.90,23/05/2016 E.C,49695148.90,552.00,1375.00
5,weldya cradit  and saving institute ,Amhara Buliding Constrction Company,Lihket designe ane supervision interprise,weldya loan and saving institute ,weldya, Urban,warm temprature,Office,No,806.83,483.35,20.39,8.8,1,5,4,1,open,4/7/2016GC,4/22/2016GC,24873748.94,2/28/2018GC,35365289.77,450.00,601.00
6,ACSI ,Moges Abeje B.C,Getall Consulting PLC,ACSI Building,Sela Dingay,Sub Urban,Hot,Office,No,324.99,269.12,269.12,4.1,1,1,0,0,Open,21/12/2013 E.C,10/01/2014 E.C,7107733.70,30/09/2014 E.C,7855544.40,180.00,260.00
7,ACIS,Moges Abeje B.C,Getall Consulting PLC,ACSI Building,Mehal Meda,Sub Urban,Hot,Office,No,733.01,476.96,476.96,4.2,1,1,0,0,Open,21/12/2013 E.C,11/01/2014 E.C,13843426.74,01/02/2016 E.C,13843426.74,180.00,386.00
8,ANRS Education Bureau,Moges Abeje B.C,Mekidela Consruction PLC,Libo Giyorgis Secondary School,Addis Zemen,Sub Urban,Hot,"Class Room, Office",No,"1,587.18",203.32,"1,423.21",6.15,7,7,0,0,Open,08/06/2015 E.C,15/06/2015 E.C,2901690.47,20/02/2016 E.C,29011690.47,100.00,300.00
9,Amhara ForestEnterprise,Moges Abeje B.C,MVR Construction PLC,Timber Factory,Debre Markos,Urban,Temprate,Office,No,"1,040.48",251.71,"1,006.83",6.6,4,4,0,0,Open,18/01/2015 E.C,20/01/2015 E.C,28354065.29,12/10/2015 E.C,30833028.57,180.00,227.00
10,FDRE Agricultural Transformation Agency,Moges Abeje B.C,North Mecha A/Office,Holticultural Primary Market,Merawi,Sub Urban,Hot,Market Shade,Yes,"3,249.00",583.81,"1,751.43",7.6,3,3,0,0,Open,21/12/2012 E.C,29/12/2012 E.C,5065604.31,09/02/2014 E.C,5724031.69,180.00,410.00
